*******************************************************************************
Ephemeris / WWW_USER Thu Mar 11 18:40:32 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Mar-20 00:00:00.0000 TDB
Stop  time      : A.D. 1800-Mar-22 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2378574.520833333, A.D. 1800-Mar-20 00:30:00.0000,  1.608646925808656E+07,  4.312207952694713E+07,  2.026506537146429E+06,
2378574.521527778, A.D. 1800-Mar-20 00:31:00.0000,  1.608314678553210E+07,  4.312321645405624E+07,  2.026905776734354E+06,
2378574.522222222, A.D. 1800-Mar-20 00:32:00.0000,  1.607982423439109E+07,  4.312435317045397E+07,  2.027305006418280E+06,
2378574.522916667, A.D. 1800-Mar-20 00:33:00.0000,  1.607650160467935E+07,  4.312548967613371E+07,  2.027704226196198E+06,
2378574.523611111, A.D. 1800-Mar-20 00:34:00.0000,  1.607317889641273E+07,  4.312662597108883E+07,  2.028103436066113E+06,
2378574.524305556, A.D. 1800-Mar-20 00:35:00.0000,  1.606985610960706E+07,  4.312776205531272E+07,  2.028502636026016E+06,
2378574.525000000, A.D. 1800-Mar-20 00:36:00.0000,  1.606653324427817E+07,  4.312889792879871E+07,  2.028901826073922E+06,
2378574.525694444, A.D. 1800-Mar-20 00:37:00.0000,  1.606321030044191E+07,  4.313003359154022E+07,  2.029301006207816E+06,
2378574.526388889, A.D. 1800-Mar-20 00:38:00.0000,  1.605988727811412E+07,  4.313116904353064E+07,  2.029700176425699E+06,
2378574.527083333, A.D. 1800-Mar-20 00:39:00.0000,  1.605656417731062E+07,  4.313230428476331E+07,  2.030099336725567E+06,
2378574.527777778, A.D. 1800-Mar-20 00:40:00.0000,  1.605324099804728E+07,  4.313343931523164E+07,  2.030498487105433E+06,
